image_path,class_name,label,split
data/raw\Healthy\healthy_00097.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_173.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00260.jpg,Healthy,0,train
data/raw\Healthy\healthy_00799.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00079.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00925.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_328.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00017.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_126.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00172.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_285.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00856.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_280.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_409.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_103.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_15.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_375.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00053.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_478.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00443.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00061.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00887.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00497.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_35.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00095.jpg,Healthy,0,train
data/raw\Healthy\healthy_00686.jpg,Healthy,0,train
data/raw\Healthy\healthy_00842.jpg,Healthy,0,train
data/raw\Healthy\healthy_00196.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_120.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_38.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_208.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00863.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_526.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00774.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_276.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_524.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00237.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_205.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00042.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00853.jpg,Healthy,0,train
data/raw\Healthy\healthy_00766.jpg,Healthy,0,train
data/raw\Healthy\healthy_00919.jpg,Healthy,0,train
data/raw\Healthy\healthy_00924.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00454.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00401.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00108.jpg,Healthy,0,train
data/raw\Healthy\healthy_00494.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00319.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00311.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00484.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00332.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00276.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_193.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00426.jpg,Healthy,0,train
data/raw\Healthy\healthy_00179.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_36.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00400.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00698.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_123.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00596.jpg,Healthy,0,train
data/raw\Healthy\healthy_00523.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_267.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00550.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_90.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00301.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_286.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_248.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_502.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00170.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_299.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_240.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00136.jpg,Healthy,0,train
data/raw\Healthy\healthy_00363.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_32.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_431.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00103.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_248.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_10.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_382.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_343.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00927.jpg,Healthy,0,train
data/raw\Healthy\healthy_00376.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00250.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00040.jpg,Healthy,0,train
data/raw\Healthy\healthy_00083.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_37.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00319.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00082.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_191.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00399.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_58.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00471.jpg,Healthy,0,train
data/raw\Healthy\healthy_00914.jpg,Healthy,0,train
data/raw\Healthy\healthy_00381.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_501.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_208.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_282.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00893.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00105.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00174.jpg,Healthy,0,train
data/raw\Healthy\healthy_00258.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00213.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_22.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00451.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_370.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_98.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00290.jpg,Healthy,0,train
data/raw\Healthy\healthy_00666.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00091.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_465.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_106.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00330.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00131.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00152.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00440.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_182.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00071.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_374.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_460.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00059.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00108.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_555.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00663.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_436.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_9.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00559.jpg,Healthy,0,train
data/raw\Healthy\healthy_00354.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_322.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_53.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00446.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_479.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00817.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_22.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00400.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_506.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_296.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00343.jpg,Healthy,0,train
data/raw\Healthy\healthy_00204.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_20.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00474.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_505.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_469.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_14.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00210.jpg,Healthy,0,train
data/raw\Healthy\healthy_00885.jpg,Healthy,0,train
data/raw\Healthy\healthy_00688.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_426.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_245.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00402.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_182.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00502.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00034.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_459.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_95.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_538.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_83.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_151.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_139.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_417.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_31.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00930.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_261.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00292.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00355.jpg,Healthy,0,train
data/raw\Healthy\healthy_00582.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_5.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00449.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_354.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00212.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00214.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00540.jpg,Healthy,0,train
data/raw\Healthy\healthy_00754.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00035.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_28.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_91.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00488.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_87.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00109.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00522.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00318.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_346.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00008.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00745.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_110.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00057.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_463.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00833.jpg,Healthy,0,train
data/raw\Healthy\healthy_00528.jpg,Healthy,0,train
data/raw\Healthy\healthy_00031.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00046.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00429.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_26.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_202.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_187.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00370.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_21.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00405.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_66.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00724.jpg,Healthy,0,train
data/raw\Healthy\healthy_00782.jpg,Healthy,0,train
data/raw\Healthy\healthy_00291.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00453.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_156.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_244.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00199.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_124.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00674.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_307.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00500.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_432.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_170.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00324.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00931.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_43.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_59.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00261.jpg,Healthy,0,train
data/raw\Healthy\healthy_00594.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00478.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00058.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_351.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00186.jpg,Healthy,0,train
data/raw\Healthy\healthy_00061.jpg,Healthy,0,train
data/raw\Healthy\healthy_00213.jpg,Healthy,0,train
data/raw\Healthy\healthy_00118.jpg,Healthy,0,train
data/raw\Healthy\healthy_00427.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_520.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_453.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00514.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00341.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00484.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_511.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_355.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00204.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_489.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_150.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_168.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_288.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00886.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_368.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_212.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00066.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00922.jpg,Healthy,0,train
data/raw\Healthy\healthy_00364.jpg,Healthy,0,train
data/raw\Healthy\healthy_00466.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00191.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_86.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00199.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_253.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00328.jpg,Healthy,0,train
data/raw\Healthy\healthy_00911.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_347.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_174.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00357.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00302.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_298.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00515.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_342.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_295.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00602.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00190.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_387.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00433.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_234.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00598.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_306.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00137.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00436.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00082.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00355.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00680.jpg,Healthy,0,train
data/raw\Healthy\healthy_00024.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_534.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00480.jpg,Healthy,0,train
data/raw\Healthy\healthy_00737.jpg,Healthy,0,train
data/raw\Healthy\healthy_00626.jpg,Healthy,0,train
data/raw\Healthy\healthy_00903.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_93.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00321.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00406.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_470.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00475.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00159.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_5.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_350.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00599.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00259.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_345.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00127.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00287.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_428.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00560.jpg,Healthy,0,train
data/raw\Healthy\healthy_00515.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_177.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00491.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_173.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_367.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00735.jpg,Healthy,0,train
data/raw\Healthy\healthy_00636.jpg,Healthy,0,train
data/raw\Healthy\healthy_00069.jpg,Healthy,0,train
data/raw\Healthy\healthy_00019.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00486.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_468.jpg,TeaRedLeafSpot,2,train
